# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1772668362355000000,1772668370464000000,0
cacheStateStorage.set.counter,1772668362355000000,1772668370464000000,0
cacheStateStorage.get.counter,1772668362355000000,1772668370464000000,4
cacheStateStorage.get.duration,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesHandedOver,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesReclaimed,1772668362355000000,1772668370464000000,0
DirectByteBufferAllocator.misses,1772668362355000000,1772668370464000000,188
FilePageCache.totalPageDisposalsUs,1772668362355000000,1772668370464000000,1297
DirectByteBufferAllocator.hits,1772668362355000000,1772668370464000000,3
FilePageCacheLockFree.totalBytesRequested,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1772668362355000000,1772668370464000000,0
MappedFileStorage.totalBytesMapped,1772668362355000000,1772668370464000000,0
FilePageCache.totalPageLoadsUs,1772668362355000000,1772668370464000000,244158
FilePageCacheLockFree.totalPagesRequestsMs,1772668362355000000,1772668370464000000,0
StorageLockContext.competingThreads.max,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesAllocated,1772668362355000000,1772668370464000000,0
StorageLockContext.competingThreads.avg,1772668362355000000,1772668370464000000,0.0
FilePageCacheLockFree.totalPageAllocationsWaited,1772668362355000000,1772668370464000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772668362355000000,1772668370464000000,41943040
DirectByteBufferAllocator.reclaimed,1772668362355000000,1772668370464000000,43
FilePageCache.disposedBuffers,1772668362355000000,1772668370464000000,191
FilePageCache.maxCacheSizeInBytes,1772668362355000000,1772668370464000000,197132288
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772668362355000000,1772668370464000000,41943040
FilePageCache.uncachedFileAccess,1772668362355000000,1772668370464000000,370
FilePageCacheLockFree.totalNativeBytesAllocated,1772668362355000000,1772668370464000000,0
FilePageCache.pageHits,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalBytesWritten,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1772668362355000000,1772668370464000000,0
DirectByteBufferAllocator.disposed,1772668362355000000,1772668370464000000,148
FilePageCacheLockFree.totalPagesReadMs,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesWritten,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesRequested,1772668362355000000,1772668370464000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772668362355000000,1772668370464000000,0
StorageLockContext.competingThreads.90P,1772668362355000000,1772668370464000000,0
FilePageCache.capacityInBytes,1772668362355000000,1772668370464000000,503316478
FilePageCacheLockFree.heapBytesInUse,1772668362355000000,1772668370464000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772668362355000000,1772668370464000000,90626
MappedFileStorage.storages,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1772668362355000000,1772668370464000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1772668362355000000,1772668370464000000,0
FilePageCache.pageFastCacheHits,1772668362355000000,1772668370464000000,13245
FilePageCacheLockFree.totalNativeBytesReclaimed,1772668362355000000,1772668370464000000,0
MappedFileStorage.totalPagesMapped,1772668362355000000,1772668370464000000,0
FilePageCache.maxRegisteredFiles,1772668362355000000,1772668370464000000,521
FilePageCacheLockFree.housekeeperTurnsSkipped,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalPagesWriteMs,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1772668362355000000,1772668370464000000,0
FilePageCacheLockFree.totalBytesRead,1772668362355000000,1772668370464000000,0
FilePageCache.pageLoads,1772668362355000000,1772668370464000000,191
FilePageCacheLockFree.nativeBytesInUse,1772668362355000000,1772668370464000000,0
VFS.invertedFileNameIndex.requests,1772668362355000000,1772668370464000000,0
VFS.fileByIdCache.misses,1772668362355000000,1772668370464000000,0
VFS.fileChildByName,1772668362355000000,1772668370464000000,48
VFS.fileByIdCache.hits,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValue.from.cache.count,1772668362355000000,1772668370464000000,0
workspaceModel.full.replace.project.model.ms,1772668362355000000,1772668370464000000,0
workspaceModel.updates.count,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValue.clear.count,1772668362355000000,1772668370464000000,0
workspaceModel.on.before.changed.ms,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772668362355000000,1772668370464000000,0
workspaceModel.updates.precise.ms,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValue.calculated.count,1772668362355000000,1772668370464000000,2
workspaceModel.to.snapshot.ms,1772668362355000000,1772668370464000000,0
workspaceModel.init.bridges.ms,1772668362355000000,1772668370464000000,0
workspaceModel.loading.from.cache.ms,1772668362355000000,1772668370464000000,27
workspaceModel.collect.changes.ms,1772668362355000000,1772668370464000000,0
workspaceModel.loading.total.ms,1772668362355000000,1772668370464000000,35
workspaceModel.update.unloaded.entities.ms,1772668362355000000,1772668370464000000,0
workspaceModel.updates.ms,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772668362355000000,1772668370464000000,0
workspaceModel.initializing.ms,1772668362355000000,1772668370464000000,0
workspaceModel.pre.handlers.ms,1772668362355000000,1772668370464000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772668362355000000,1772668370464000000,3
workspaceModel.cachedValue.total.get.count,1772668362355000000,1772668370464000000,2
workspaceModel.replace.project.model.ms,1772668362355000000,1772668370464000000,0
workspaceModel.check.recursive.update.ms,1772668362355000000,1772668370464000000,0
workspaceModel.on.changed.ms,1772668362355000000,1772668370464000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772668362355000000,1772668370464000000,0
writeAction.max.wait.ms,1772668362355000000,1772668370464000000,0
writeAction.count,1772668362355000000,1772668370464000000,1
writeAction.median.wait.ms,1772668362355000000,1772668370464000000,0
writeAction.wait.ms,1772668362355000000,1772668370464000000,0
AWTEventQueue.dispatchTime90PNs,1772668362355000000,1772668370464000000,0
FlushQueue.tasksExecuted,1772668362355000000,1772668370464000000,0
ReadAction.executionsCount,1772668362355000000,1772668370464000000,64763
AWTEventQueue.eventsDispatched,1772668362355000000,1772668370464000000,0
AWTEventQueue.dispatchTimeTotalNS,1772668362355000000,1772668370464000000,807023000
NonBlockingReadAction.finalizedExecutionsCount,1772668362355000000,1772668370464000000,11
FlushQueue.waitingTime90PNs,1772668362355000000,1772668370464000000,0
WriteAction.executionsCount,1772668362355000000,1772668370464000000,1
AWTEventQueue.dispatchTimeMaxNs,1772668362355000000,1772668370464000000,0
FlushQueue.executionTimeAvgNs,1772668362355000000,1772668370464000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1772668362355000000,1772668370464000000,59539
FlushQueue.waitingTimeAvgNs,1772668362355000000,1772668370464000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1772668362355000000,1772668370464000000,0.0
FlushQueue.executionTime90PNs,1772668362355000000,1772668370464000000,0
FlushQueue.waitingTimeMaxNs,1772668362355000000,1772668370464000000,0
NonBlockingReadAction.failedExecutionsCount,1772668362355000000,1772668370464000000,0
FlushQueue.executionTimeMaxNs,1772668362355000000,1772668370464000000,0
FlushQueue.queueSizeAvg,1772668362355000000,1772668370464000000,0.0
FlushQueue.queueSizeMax,1772668362355000000,1772668370464000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772668362355000000,1772668370464000000,0
FlushQueue.queueSize90P,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772668362355000000,1772668370464000000,0
jps.global.get.libraries.ms,1772668362355000000,1772668370464000000,0
workspaceModel.save.cache.to.file.ms,1772668362355000000,1772668370464000000,0
workspaceModel.load.cache.from.file.ms,1772668362355000000,1772668370464000000,0
workspaceModel.global.updates.count,1772668362355000000,1772668370464000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772668362355000000,1772668370464000000,1
jps.app.storage.content.reader.load.component.ms,1772668362355000000,1772668370464000000,1
workspaceModel.global.apply.state.to.project.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.instances.count,1772668362355000000,1772668370464000000,2
jps.global.handle.changed.events.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772668362355000000,1772668370464000000,0
jps.global.initialize.library.bridges.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772668362355000000,1772668370464000000,0
jps.library.entities.serializer.load.entities.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772668362355000000,1772668370464000000,0
workspaceModel.do.save.caches.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772668362355000000,1772668370464000000,0
jps.global.get.library.by.name.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772668362355000000,1772668370464000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772668362355000000,1772668370464000000,0
jps.library.entities.serializer.save.entities.ms,1772668362355000000,1772668370464000000,0
jps.load.initial.state.ms,1772668362355000000,1772668370464000000,9
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772668362355000000,1772668370464000000,0
workspaceModel.sync.entities.ms,1772668362355000000,1772668370464000000,0
workspaceModel.global.updates.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772668362355000000,1772668370464000000,1
jps.global.get.library.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772668362355000000,1772668370464000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772668362355000000,1772668370464000000,0
jps.save.global.entities.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772668362355000000,1772668370464000000,0
jps.global.handle.before.change.events.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772668362355000000,1772668370464000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772668362355000000,1772668370464000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772668362355000000,1772668370464000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772668362355000000,1772668370464000000,0
